"Country","Current_health_expenditure"
"Afghanistan",11.7771938443184
"Albania",NA
"Algeria",6.37432187795639
"American Samoa",NA
"Andorra",10.3205524384975
"Angola",2.79150027781725
"Antigua and Barbuda",4.53353188931942
"Argentina",9.12431478500366
"Armenia",10.3627048432827
"Aruba",NA
"Australia",9.20594781637192
"Austria",10.3966169059277
"Azerbaijan",6.65182918310165
"Bahamas",5.75888901948929
"Bahrain",4.74810488522053
"Bangladesh",2.27424874901772
"Barbados",6.77912682294846
"Belarus",5.92578575015068
"Belgium",10.338669270277
"Belize",5.64282275736332
"Benin",3.71858216822147
"Bermuda",NA
"Bhutan",3.18696238100529
"Bolivia",6.44316077232361
"Bosnia and Herzegovina",8.93166735768318
"Botswana",6.13456815481186
"Brazil",9.46747660636902
"British Virgin Islands",NA
"Brunei Darussalam",2.37320773303509
"Bulgaria",8.09560343623161
"Burkina Faso",6.91505968570709
"Burundi",7.51757025718689
"Cabo Verde",5.16548864543438
"Cambodia",5.91884180903435
"Cameroon",4.67066690325737
"Canada",10.5727694928646
"Cayman Islands",NA
"Central African Republic",5.82177564501762
"Chad",4.48730140924454
"Channel Islands",NA
"Chile",8.9835099875927
"China",5.15119321644306
"Colombia",7.22628086805344
"Comoros",7.3843739926815
"Congo, Dem. Rep.",3.97872291505337
"Congo, Rep.",2.93027926236391
"Costa Rica",7.32879638671875
"Cote d'Ivoire",4.45303432643414
"Croatia",6.78913369774818
"Cuba",11.7113269865513
"Curacao",NA
"Cyprus",6.68456926941872
"Czech Republic",7.23133906722069
"Denmark",10.1082794368267
"Djibouti",3.31651791930199
"Dominica",5.87688907980919
"Dominican Republic",6.13639503717422
"Ecuador",8.25742930173874
"Egypt",5.28763681650162
"El Salvador",7.22756013274193
"Equatorial Guinea",3.10709420591593
"Eritrea",2.87002343684435
"Estonia",6.42935782670975
"Eswatini",6.93037807941437
"Ethiopia",3.50255742669106
"Faroe Islands",NA
"Fiji",3.50074470043182
"Finland",9.20693874359131
"France",11.3128922879696
"French Polynesia",NA
"Gabon",2.78074592351913
"Gambia",3.2820712774992
"Georgia",7.60165899991989
"Germany",11.2468346953392
"Ghana",3.26237045228481
"Gibraltar",NA
"Greece",8.04139003157616
"Greenland",NA
"Grenada",4.7571174800396
"Guam",NA
"Guatemala",5.81384375691414
"Guinea",4.12308685481548
"Guinea-Bissau",7.23586902022362
"Guyana",4.94550988078117
"Haiti",8.03550109267235
"Honduras",7.85842537879944
"Hong Kong",NA
"Hungary",6.87998980283737
"Iceland",8.32629129290581
"India",3.53495962917805
"Indonesia",2.98905447125435
"Iran",8.65966379642487
"Iraq",4.16663028299809
"Ireland",7.18438327312469
"Isle of Man",NA
"Israel",7.40746408700943
"Italy",8.84025916457176
"Jamaica",5.98841682076454
"Japan",10.9359331429005
"Jordan",8.11925083398819
"Kazakhstan",3.12536172568798
"Kenya",4.80254329741001
"Kiribati",10.7575967907906
"North Korea",NA
"Korea, Rep.",7.60386362671852
"Kosovo",NA
"Kuwait",5.2913848310709
"Kyrgyz",6.1858631670475
"Lao PDR",2.52808686345816
"Latvia",5.95566183328629
"Lebanon",8.19554403424263
"Lesotho",8.76315832138062
"Liberia",8.15533772110939
"Libya",NA
"Liechtenstein",NA
"Lithuania",6.45756423473358
"Luxembourg",5.4810743778944
"Macao",NA
"Madagascar",5.50203807651997
"Malawi",9.64823141694069
"Malaysia",3.85939814150333
"Maldives",9.02997627854347
"Mali",3.79398502409458
"Malta",9.34099927544594
"Marshall Islands",16.4029404520988
"Mauritania",4.40315157175064
"Mauritius",5.71872070431709
"Mexico",5.51654137670994
"Micronesia",12.3515494167805
"Moldova",7.0129506289959
"Monaco",1.77270229905844
"Mongolia",4.00230102241039
"Montenegro",NA
"Morocco",5.24520017206669
"Mozambique",4.94119822978973
"Myanmar",4.65907230973244
"Namibia",8.55095684528351
"Nauru",11.0175155103207
"Nepal",5.55329509079456
"Netherlands",10.1008348166943
"New Caledonia",NA
"New Zealand",9.1700553894043
"Nicaragua",8.64546522498131
"Niger",7.73996263742447
"Nigeria",3.75553853809834
"North Macedonia",6.06211498379707
"Northern Mariana Islands",NA
"Norway",10.4463420808315
"Oman",3.849071636796
"Pakistan",2.89863366633654
"Palau",11.9611620903015
"Panama",7.31949135661125
"Papua New Guinea",2.46927607804537
"Paraguay",6.65456876158714
