Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Afghanistan,AFG,..,..,73.2551693916321,74.4862079620361,72.0478653907776,73.0559229850769,78.3822953701019,75.9743332862854,75.482577085495,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Algeria,DZA,..,25.7945150136948,27.8734654188156,25.715908408165,27.5619775056839,26.6584545373917,28.208202123642,30.8821350336075,32.5488388538361,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Andorra,AND,..,47.8947877883911,44.3996131420136,43.8894897699356,43.2765901088715,42.8039580583572,42.3558264970779,41.7908906936646,41.7770534753799,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Angola,AGO,..,27.3046880960464,17.9938092827797,17.6191776990891,21.3492780923843,26.8761664628983,33.523166179657,35.2089315652847,34.1210126876831,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Antigua and Barbuda,ATG,..,23.284150660038,26.3831704854965,28.1195044517517,26.9559741020203,27.7604818344116,25.9837120771408,31.7270368337631,34.9848866462708,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Argentina,ARG,..,29.1043311357498,17.9976493120193,14.111852645874,14.4944190979004,14.5583495497704,13.7893319129944,15.9830957651138,15.0185272097588,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Armenia,ARM,..,62.0109558105469,78.4196674823761,78.5872995853424,82.8755736351013,82.4813663959503,81.629878282547,80.6468784809113,84.348076581955,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Australia,AUS,..,20.997080206871,19.1725254058838,19.934207201004,19.7154209017754,19.5582702755928,18.9466014504433,18.3377906680107,18.1521028280258,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Austria,AUT,..,17.8222194314003,18.7395632266998,18.6740919947624,19.1712513566017,19.0981760621071,19.0911129117012,19.3011283874512,19.2032665014267,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Azerbaijan,AZE,..,75.8938431739807,77.5921046733856,75.57213306427,77.8614103794098,78.1054854393005,79.4463276863098,81.5710306167603,83.8561415672302,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,"Bahamas, The",BHS,..,21.1802631616592,28.4017205238342,28.687247633934,28.58025431633,30.052924156189,26.8609613180161,27.6852458715439,30.9824675321579,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Bahrain,BHR,..,25.7922053337097,28.4358501434326,26.8039226531982,26.9046038389206,26.1759996414185,25.8403867483139,27.9878586530685,30.5521756410599,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Bangladesh,BGD,..,61.0953211784363,67.3722267150879,67.4690961837769,68.5146629810333,69.9314594268799,71.8163371086121,73.1260061264038,73.8847374916077,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Barbados,BRB,..,39.3747568130493,42.188224196434,38.6069864034653,41.5833801031113,44.4222211837769,45.2299445867538,45.1797008514404,46.3035732507706,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Belarus,BLR,..,16.0283610224724,33.5878431797028,30.7739824056625,33.7923377752304,34.894323348999,36.2026154994965,26.7141848802567,27.5150001049042,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Belgium,BEL,..,20.2272281050682,18.1752175092697,17.7340820431709,18.0322632193565,17.4903407692909,17.5399124622345,17.8647503256798,17.6382228732109,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Belize,BLZ,..,35.113850235939,24.5006248354912,25.3163784742355,24.3389397859573,24.0166902542114,23.141273856163,23.5430344939232,24.1548627614975,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Benin,BEN,..,52.4986624717712,43.6743438243866,37.4064475297928,42.312091588974,44.0125435590744,40.4965877532959,43.4832900762558,44.979926943779,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Bhutan,BTN,..,11.5413442254066,16.3439273834229,20.5064043402672,20.3139036893845,21.1712315678597,19.7946578264236,20.1296955347061,13.3064657449722,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Bolivia,BOL,..,33.50730240345,32.505464553833,34.358337521553,34.0091645717621,30.904358625412,27.3266166448593,28.0211210250854,25.0778466463089,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Bosnia and Herzegovina,BIH,..,39.5919024944305,29.4684857130051,29.2125701904297,28.9624869823456,28.9667963981628,28.8411110639572,28.6827325820923,29.1393101215363,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Botswana,BWA,..,10.9829597175121,4.57396060228348,4.24004644155502,3.78434434533119,3.71709540486336,3.57781760394573,3.30749414861202,2.99324225634336,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Brazil,BRA,..,36.5922212600708,29.299584031105,29.6820312738419,28.1770676374435,28.1802475452423,28.4444153308868,27.4069219827652,27.4554938077927,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Brunei Darussalam,BRN,..,15.8313140273094,8.47186893224716,8.85192900896072,9.40741971135139,7.33459964394569,4.97357659041882,4.97981533408165,5.17660900950432,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Bulgaria,BGR,..,40.3757005929947,44.4637268781662,47.7468073368073,47.1014887094498,45.8127737045288,47.668269276619,47.9540467262268,46.5525686740875,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Burkina Faso,BFA,..,42.1600818634033,32.8817009925842,32.3835670948029,33.5373312234879,34.0784758329391,36.0298007726669,31.3830941915512,31.6775947809219,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Burundi,BDI,..,41.7869329452515,25.4752427339554,22.6936638355255,21.0843950510025,29.9224525690079,30.8293700218201,25.216668844223,25.4629760980606,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Cabo Verde,CPV,..,25.2591878175735,25.8929282426834,24.5681911706924,24.2501452565193,25.6990522146225,27.7576714754105,28.7130236625671,28.8964778184891,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Cambodia,KHM,..,68.6848998069763,59.7418785095215,60.4709088802338,61.2221539020538,58.6217761039734,57.3310673236847,58.5604012012482,60.4358732700348,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Cameroon,CMR,..,77.4300098419189,51.4438629150391,70.2673494815826,71.4027762413025,70.8786249160767,69.7441220283508,69.6669042110443,70.9576010704041,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Canada,CAN,..,16.6052103042603,13.949553668499,13.7740597128868,13.6323407292366,13.6467710137367,13.554123044014,14.1283065080643,14.2197504639626,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Central African Republic,CAF,..,46.3835269212723,44.7936177253723,43.3077931404114,48.7446069717407,41.2100464105606,29.9810588359833,43.0794179439545,31.1890989542007,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Chad,TCD,..,56.2162578105927,60.7701599597931,59.4282209873199,58.6379528045654,55.7212054729462,56.7242085933685,55.9865951538086,58.0231606960297,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Chile,CHL,..,42.8149670362473,34.4992607831955,33.4076434373856,33.6383104324341,34.26873087883,34.5092564821243,34.7699463367462,33.5341811180115,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,China,CHN,..,60.1253390312195,40.2655422687531,39.2345875501633,38.159516453743,36.5648329257965,35.0892871618271,35.9061866998672,36.0504120588303,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Colombia,COL,..,13.6910334229469,15.315754711628,17.8585529327393,16.6692659258842,16.4165556430817,16.0592049360275,16.3662284612656,16.3084268569946,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Comoros,COM,..,82.0988655090332,70.3969538211823,78.2103538513184,76.4263868331909,76.7101168632507,75.2803266048431,72.6651310920715,74.6471285820007,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,"Congo, Dem. Rep.",COD,..,50.3684878349304,38.8251036405563,39.634957909584,39.4329696893692,38.7164086103439,37.1788322925568,37.2776925563812,40.1247203350067,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,"Congo, Rep.",COG,..,52.6997268199921,41.0913467407227,29.7379910945892,30.6525856256485,31.1863154172897,32.4601173400879,46.2118595838547,48.4012395143509,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Costa Rica,CRI,..,31.574872136116,25.7832288742065,24.5027497410774,23.2256665825844,24.4133055210114,22.5992321968079,22.2029522061348,21.2553903460503,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Cote d'Ivoire,CIV,..,59.2550098896027,59.20729637146,52.7981162071228,56.1593234539032,51.1434197425842,42.8667336702347,40.1471108198166,39.3607437610626,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Croatia,HRV,..,13.8612523674965,12.0521694421768,11.4724509418011,8.83127674460411,11.2752825021744,10.9443455934525,10.9739825129509,10.9732516109943,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Cuba,CUB,..,16.2293806672096,10.8163803815842,13.1309732794762,12.2711904346943,9.63887721300125,9.62183102965355,10.285434871912,10.4826636612415,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Cyprus,CYP,..,55.9019148349762,42.7990257740021,44.0257877111435,43.0922895669937,44.734126329422,44.329160451889,45.2442795038223,44.6320354938507,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Czech Republic,CZE,..,10.1975068449974,15.0214582681656,15.2914881706238,13.5858535766602,14.0819922089577,14.8283943533897,15.0238126516342,14.8091018199921,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Denmark,DNK,..,15.3564319014549,14.5507901906967,14.1590401530266,13.8100728392601,13.774561882019,13.6747792363167,13.7123823165894,13.7384653091431,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Djibouti,DJI,..,51.3324677944183,24.2288053035736,22.9479655623436,24.0580841898918,22.6595267653465,20.3841894865036,23.3940303325653,26.5042155981064,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Dominica,DMA,..,33.5442245006561,36.7841273546219,35.2690637111664,34.9840402603149,33.9360684156418,30.7538986206055,29.06554043293,30.9549570083618,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Dominican Republic,DOM,..,55.320143699646,42.4441307783127,42.8616791963577,42.1832233667374,42.484176158905,42.851310968399,44.6164131164551,44.7381973266602,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Ecuador,ECU,..,63.8864099979401,45.4347968101501,43.6306923627853,42.3678308725357,41.9836640357971,43.8699424266815,40.3844356536865,39.3985062837601,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,"Egypt, Arab Rep.",EGY,..,62.4893486499786,60.4951024055481,62.9862308502197,61.2108170986176,59.0389668941498,59.4543039798737,59.0074181556702,60.0825130939484,..,..,..
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,El Salvador,SLV,..,51.6843914985657,30.584254860878,32.0755571126938,28.2302379608154,28.2717227935791,27.8322547674179,27.1688759326935,29.1964501142502,..,..,..
