Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Afghanistan,AFG,..,..,5.6062251329422,4.34189476072788,5.03476187586784,4.96025793254375,5.17223961651325,5.07784523069859,5.09581863880157,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Algeria,DZA,..,71.9634354114532,70.6248939037323,72.929459810257,71.0484445095062,72.0087826251984,70.4593300819397,67.6843583583832,65.9546911716461,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Andorra,AND,..,41.5683597326279,45.8324730396271,46.4548230171204,47.2025603055954,47.779169678688,48.3258903026581,49.0151107311249,49.0319937467575,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Angola,AGO,..,58.2095682621002,64.7570610046387,65.2545511722565,62.0297968387604,54.1532635688782,47.3652303218842,44.1382706165314,46.27865254879,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Antigua and Barbuda,ATG,..,56.2012374401093,52.5808393955231,54.3064177036285,55.7659089565277,55.2652180194855,55.4480493068695,49.0998566150665,47.0349878072739,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Argentina,ARG,..,54.7317028045654,67.6608204841614,72.5415170192719,74.3060708045959,76.6181111335754,77.6511430740356,74.1104245185852,72.4321186542511,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Armenia,ARM,..,22.7532178163528,17.8422212600708,17.276930809021,13.3255645632744,14.7911071777344,15.9148812294006,16.4524734020233,13.2446691393852,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Australia,AUS,..,68.3793008327484,69.2132294178009,67.5357460975647,67.5519287586212,67.3579752445221,68.2080566883087,68.5947775840759,68.9128518104553,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Austria,AUT,..,74.1634070873261,72.689026594162,72.8737831115723,72.1690595149994,72.5170910358429,72.4560141563416,72.2148895263672,72.3925411701202,..,..,..
