Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Afghanistan,AFG,..,..,8.56190696358681,7.89717584848404,8.80594030022621,9.52887013554573,10.1053476333618,10.9619833528996,11.7771938443184,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Algeria,DZA,..,3.48903276026249,5.26748076081276,6.00050985813141,6.03576265275478,6.54721409082413,6.97847604751587,6.60384446382523,6.37432187795639,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Andorra,AND,..,9.34810116887093,9.76589396595955,10.0469410419464,10.1121135056019,10.2764785289764,10.2527126669884,10.3241071105003,10.3205524384975,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Angola,AGO,..,1.90859939903021,2.64560803771019,2.3957496508956,2.73282770067453,2.43412852287292,2.60579492896795,2.71314904093742,2.79150027781725,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Antigua and Barbuda,ATG,..,4.48070093989372,5.29601573944092,5.19106052815914,5.4170910269022,5.25245517492294,4.70175370573998,4.35729622840881,4.53353188931942,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Argentina,ARG,..,8.46696421504021,8.39656293392181,8.45703780651093,8.37134718894959,8.25823321938515,8.78850445151329,7.54439905285835,9.12431478500366,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Armenia,ARM,..,4.19580340385437,9.37587842345238,9.13455188274384,10.3234454989433,10.1782701909542,10.1176336407661,9.95196625590324,10.3627048432827,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Australia,AUS,..,7.61387273669243,8.54151993989944,8.67569968104362,8.75855982303619,9.03803408145905,9.31473970413208,9.19608399271965,9.20594781637192,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Austria,AUT,..,9.20371413230896,10.0261330604553,10.1991556584835,10.2857492864132,10.3680923581123,10.3677898645401,10.4191698133945,10.3966169059277,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Azerbaijan,AZE,..,3.89368310570717,4.50815260410309,4.9017746001482,5.05413673818111,5.46774417161942,6.7139521241188,6.66313469409943,6.65182918310165,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Bahamas, The",BHS,..,4.03386577963829,6.04883804917336,6.04767948389053,6.02467283606529,5.89146576821804,5.71438558399677,6.07141181826591,5.75888901948929,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bahrain,BHR,..,3.56132611632347,3.57691310346127,4.10642623901367,4.31073978543282,4.40681837499142,4.97506633400917,4.85823042690754,4.74810488522053,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bangladesh,BGD,..,2.00194679200649,2.56593748927116,2.57301107048988,2.5033475831151,2.49601118266582,2.46311463415623,2.31177993118763,2.27424874901772,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Barbados,BRB,..,5.33187240362167,6.89933896064758,7.77819976210594,7.5993649661541,7.1065329015255,6.96714371442795,6.85200393199921,6.77912682294846,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belarus,BLR,..,5.46676106750965,4.87438552081585,5.24532683193684,5.6955948472023,5.38793355226517,6.06533326208591,5.91054148972034,5.92578575015068,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belgium,BEL,..,7.94200375676155,10.1366557180882,10.2657780051231,10.3696592152119,10.414495319128,10.2801322937012,10.3044547140598,10.338669270277,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belize,BLZ,..,4.14090380072594,5.63439726829529,5.37181310355663,5.69776929914951,5.67393228411675,5.90320862829685,6.09697625041008,5.64282275736332,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Benin,BEN,..,4.23000827431679,4.22198325395584,4.66644056141377,3.90670448541641,3.64550650119781,3.99181954562664,3.85561250150204,3.71858216822147,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bhutan,BTN,..,4.31019999086857,3.26995775103569,3.53425480425358,3.62129546701908,3.46891731023788,3.65807972848415,3.48776765167713,3.18696238100529,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bolivia,BOL,..,4.39554117619991,5.49254566431046,5.37370517849922,5.73515519499779,5.96491470932961,6.61701411008835,6.8528488278389,6.44316077232361,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bosnia and Herzegovina,BIH,..,7.66593515872955,9.17856022715569,9.49001535773277,9.48689728975296,9.47516858577728,9.33953672647476,9.22786220908165,8.93166735768318,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Botswana,BWA,..,5.82725815474987,5.77690303325653,6.14145994186401,6.22438825666904,5.59793151915073,5.72629943490028,5.56052215397358,6.13456815481186,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brazil,BRA,..,8.33480134606361,7.78830125927925,7.73530080914497,7.97709375619888,8.39605405926704,8.87020379304886,9.20620560646057,9.46747660636902,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brunei Darussalam,BRN,..,2.54324767738581,1.8640972673893,1.85097213834524,1.89831405878067,1.91436801105738,2.38708909600973,2.54828687757254,2.37320773303509,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bulgaria,BGR,..,5.87085261940956,7.13480859994888,7.59439393877983,7.86822661757469,8.49875584244728,8.20273160934448,8.23010727763176,8.09560343623161,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Burkina Faso,BFA,..,3.31752374768257,5.22973276674747,5.17796874046326,6.25648573040962,5.62491603195667,5.82530051469803,7.0131242275238,6.91505968570709,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Burundi,BDI,..,6.17697164416313,10.069977492094,8.52668434381485,8.14255550503731,6.88927695155144,6.57856911420822,7.49216079711914,7.51757025718689,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cabo Verde,CPV,..,4.4340118765831,4.30527441203594,5.1336545497179,5.28994239866734,5.32722249627113,4.81860935688019,4.84325401484966,5.16548864543438,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cambodia,KHM,..,6.54095411300659,7.50353187322617,7.2611540555954,7.10386782884598,6.70157745480537,6.19431585073471,6.11648447811604,5.91884180903435,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cameroon,CMR,..,3.98234538733959,3.39884161949158,4.5420229434967,4.5031800866127,4.53427918255329,4.69952337443829,4.67907898128033,4.67066690325737,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Canada,CAN,..,8.27567875385284,10.3525035083294,10.347892343998,10.227344930172,10.0556157529354,10.5106920003891,10.7378765940666,10.5727694928646,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Central African Republic,CAF,..,4.43353950977325,3.8226556032896,3.87416668236256,4.843345656991,4.85324896872044,6.30899146199226,4.28150147199631,5.82177564501762,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Chad,TCD,..,5.45750223100185,3.9104662835598,3.85607741773129,4.066451638937,4.27316874265671,4.5239545404911,4.95711341500282,4.48730140924454,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Chile,CHL,..,7.03517645597458,6.77178874611855,7.02091977000237,7.44478330016136,7.80729874968529,8.30269157886505,8.51739346981049,8.9835099875927,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,China,CHN,..,4.47341501712799,4.32551316916943,4.54939901828766,4.71002236008644,4.77322712540627,4.88872304558754,4.98188063502312,5.15119321644306,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Colombia,COL,..,5.65230399370193,6.7906990647316,6.75231143832207,7.26269856095314,7.14657977223396,7.29742348194122,7.21367970108986,7.22628086805344,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Comoros,COM,..,12.2403264045715,9.09870937466621,7.92808011174202,7.76687934994698,7.58468061685562,7.77522251009941,7.48664736747742,7.3843739926815,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Congo, Dem. Rep.",COD,..,1.57237853854895,3.43164056539536,3.56752946972847,3.56509238481522,3.97941172122955,3.94199565052986,3.88742499053478,3.97872291505337,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Congo, Rep.",COG,..,1.69392451643944,1.85153502970934,2.47433297336102,2.48846784234047,2.50741988420486,3.41535210609436,3.48694697022438,2.93027926236391,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Costa Rica,CRI,..,6.59314468502998,8.21805223822594,7.91350975632668,7.86832198500633,7.88175165653229,7.82286003232002,7.53346905112267,7.32879638671875,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cote d'Ivoire,CIV,..,5.60044758021832,6.07790760695934,6.11988008022308,5.13896681368351,5.15732504427433,4.42198179662228,4.536222666502,4.45303432643414,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Croatia,HRV,..,7.66469836235046,7.78569057583809,7.78825879096985,6.52199685573578,6.69512525200844,6.78795650601387,6.8262591958046,6.78913369774818,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cuba,CUB,..,6.58189803361893,11.3129861652851,9.29940938949585,10.430995374918,12.1412344276905,12.8140136599541,12.2177511453629,11.7113269865513,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Cyprus,CYP,..,5.30800074338913,6.5914548933506,6.68914839625359,6.9012813270092,6.77953436970711,6.80903270840645,6.78870975971222,6.68456926941872,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Czech Republic,CZE,..,5.71755319833755,6.97689205408096,7.02843517065048,7.80669525265694,7.65308514237404,7.24275708198547,7.14959874749184,7.23133906722069,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Denmark,DNK,..,8.10438096523285,10.1529084146023,10.2413557469845,10.1695828139782,10.1719036698341,10.2271653711796,10.1812340319157,10.1082794368267,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Djibouti,DJI,..,4.1253037750721,4.7382939606905,4.63176853954792,4.09869812428951,4.13814373314381,4.38930131494999,3.74931842088699,3.31651791930199,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Dominica,DMA,..,5.24128377437592,5.33450357615948,5.82828931510448,5.29502630233765,5.46157732605934,5.4116278886795,5.21032176911831,5.87688907980919,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Dominican Republic,DOM,..,4.88427504897118,5.66509887576103,5.88520579040051,5.76407723128796,5.84722943603992,5.98247051239014,6.09660409390926,6.13639503717422,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ecuador,ECU,..,3.31528969109058,7.86521807312965,8.47968235611916,8.55983421206474,8.62127467989922,8.58845710754395,8.29596072435379,8.25742930173874,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Egypt, Arab Rep.",EGY,..,4.9224428832531,4.35706935822964,4.55305427312851,4.65416051447392,4.69173714518547,5.33657260239124,5.36304637789726,5.28763681650162,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,El Salvador,SLV,..,8.92467796802521,8.14439952373505,7.53931999206543,7.71839246153831,7.6815277338028,7.63034075498581,7.71710723638535,7.22756013274193,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Equatorial Guinea,GNQ,..,2.32444871217012,1.55357513576746,1.26357385888696,1.87567044049501,2.19292920082808,2.91533973067999,3.15718427300453,3.10709420591593,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Eritrea,ERI,..,4.46306504309177,4.14872765541077,2.93875001370907,2.83475834876299,2.81877126544714,2.86434311419725,2.90812440216541,2.87002343684435,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Estonia,EST,..,5.16450814902782,5.82266226410866,5.82774616777897,6.00984208285809,6.11678622663021,6.38630390167236,6.50335699319839,6.42935782670975,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Eswatini,SWZ,..,4.60951738059521,8.46997275948524,7.92197361588478,7.51732140779495,7.3317252099514,7.12694451212883,6.81777596473694,6.93037807941437,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ethiopia,ETH,..,4.36504669487476,4.46897782385349,4.53959591686726,4.0750652551651,4.03363220393658,3.94492037594318,3.85119467973709,3.50255742669106,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Fiji,FJI,..,3.72256189584732,3.40484641492367,3.53699028491974,3.46669256687164,3.64925563335419,3.56886349618435,3.53480093181133,3.50074470043182,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Finland,FIN,..,6.84289708733559,8.9576318860054,9.3015268445015,8.67265313863754,9.49307456612587,9.70412269234657,9.42838788032532,9.20693874359131,..,..,..
