"Country","Out_of_pocket_health_expenditure"
"Afghanistan",75.482577085495
"Albania",NA
"Algeria",32.5488388538361
"American Samoa",NA
"Andorra",41.7770534753799
"Angola",34.1210126876831
"Antigua and Barbuda",34.9848866462708
"Argentina",15.0185272097588
"Armenia",84.348076581955
"Aruba",NA
"Australia",18.1521028280258
"Austria",19.2032665014267
"Azerbaijan",83.8561415672302
"Bahamas",30.9824675321579
"Bahrain",30.5521756410599
"Bangladesh",73.8847374916077
"Barbados",46.3035732507706
"Belarus",27.5150001049042
"Belgium",17.6382228732109
"Belize",24.1548627614975
"Benin",44.979926943779
"Bermuda",NA
"Bhutan",13.3064657449722
"Bolivia",25.0778466463089
"Bosnia and Herzegovina",29.1393101215363
"Botswana",2.99324225634336
"Brazil",27.4554938077927
"British Virgin Islands",NA
"Brunei Darussalam",5.17660900950432
"Bulgaria",46.5525686740875
"Burkina Faso",31.6775947809219
"Burundi",25.4629760980606
"Cabo Verde",28.8964778184891
"Cambodia",60.4358732700348
"Cameroon",70.9576010704041
"Canada",14.2197504639626
"Cayman Islands",NA
"Central African Republic",31.1890989542007
"Chad",58.0231606960297
"Channel Islands",NA
"Chile",33.5341811180115
"China",36.0504120588303
"Colombia",16.3084268569946
"Comoros",74.6471285820007
"Congo, Dem. Rep.",40.1247203350067
"Congo, Rep.",48.4012395143509
"Costa Rica",21.2553903460503
"Cote d'Ivoire",39.3607437610626
"Croatia",10.9732516109943
"Cuba",10.4826636612415
"Curacao",NA
"Cyprus",44.6320354938507
"Czech Republic",14.8091018199921
"Denmark",13.7384653091431
"Djibouti",26.5042155981064
"Dominica",30.9549570083618
"Dominican Republic",44.7381973266602
"Ecuador",39.3985062837601
"Egypt",60.0825130939484
"El Salvador",29.1964501142502
"Equatorial Guinea",76.7920136451721
"Eritrea",59.1215252876282
"Estonia",23.6646249890327
"Eswatini",10.4967460036278
"Ethiopia",34.4089895486832
"Faroe Islands",NA
"Fiji",15.5942484736443
"Finland",20.2274233102798
"France",9.38421934843063
"French Polynesia",NA
"Gabon",25.1563906669617
"Gambia",22.0314085483551
"Georgia",54.7619044780731
"Germany",12.6729190349579
"Ghana",40.2916967868805
"Gibraltar",NA
"Greece",34.7502082586288
"Greenland",NA
"Grenada",52.4138391017914
"Guam",NA
"Guatemala",54.1341066360474
"Guinea",56.6835463047028
"Guinea-Bissau",72.0612049102783
"Guyana",32.4706435203552
"Haiti",40.2279019355774
"Honduras",48.7016767263412
"Hong Kong",NA
"Hungary",26.8943250179291
"Iceland",16.480378806591
"India",62.4015033245087
"Indonesia",34.6057176589966
"Iran",41.7565643787384
"Iraq",58.0432951450348
"Ireland",12.2811168432236
"Isle of Man",NA
"Israel",22.2508862614632
"Italy",23.4858065843582
"Jamaica",17.2296956181526
"Japan",12.8477171063423
"Jordan",30.4274260997772
"Kazakhstan",33.1494748592377
"Kenya",24.0433126688004
"Kiribati",0.11221959721297
"North Korea",NA
"Korea, Rep.",33.6690425872803
"Kosovo",NA
"Kuwait",12.6153096556664
"Kyrgyz",56.3766300678253
"Lao PDR",46.1833655834198
"Latvia",41.9875770807266
"Lebanon",33.2187473773956
"Lesotho",16.6426405310631
"Liberia",45.5063581466675
"Libya",NA
"Liechtenstein",NA
"Lithuania",32.2738111019135
"Luxembourg",10.6895416975021
"Macao",NA
"Madagascar",24.6854111552238
"Malawi",10.5903871357441
"Malaysia",37.9471957683563
"Maldives",20.6469982862473
"Mali",35.1130127906799
"Malta",34.7537875175476
"Marshall Islands",12.4135434627533
"Mauritania",49.545481801033
"Mauritius",48.8656491041183
"Mexico",41.2832766771317
"Micronesia",2.40353066474199
"Moldova",43.6354845762253
"Monaco",6.88783898949623
"Mongolia",32.1524679660797
"Montenegro",NA
"Morocco",53.9362132549286
"Mozambique",7.39533454179764
"Myanmar",76.2309670448303
"Namibia",7.73419514298439
"Nauru",0.92451861128211
"Nepal",57.7985525131226
"Netherlands",11.0869333148003
"New Caledonia",NA
"New Zealand",13.5770738124847
"Nicaragua",32.5990498065948
"Niger",47.8285133838654
"Nigeria",77.2248029708862
"North Macedonia",31.9056153297424
"Northern Mariana Islands",NA
"Norway",14.1772866249084
"Oman",6.69259130954742
"Pakistan",60.2368772029877
"Palau",15.457022190094
"Panama",33.2700669765472
"Papua New Guinea",8.99854451417923
"Paraguay",44.1762536764145
"Peru",28.1882584095001
"Philippines",53.045779466629
"Poland",23.0497926473618
"Portugal",27.5320798158646
"Puerto Rico",NA
"Qatar",8.902657777071
"Romania",20.4880461096764
"Russian Federation",40.4930830001831
"Rwanda",6.24799951910973
"Samoa",11.8570581078529
"San Marino",17.3339992761612
"Sao Tome and Principe",13.7765601277351
"Saudi Arabia",16.8597862124443
"Senegal",52.3998200893402
"Serbia",41.7523622512817
"Seychelles",24.599426984787
"Sierra Leone",50.4125535488129
"Singapore",32.1252405643463
"Sint Maarten",NA
"Slovak Republic",18.7131851911545
"Slovenia",12.3281687498093
"Solomon Islands",5.39916232228279
"Somalia",NA
"South Africa",7.7669233083725
"South Sudan",19.1928148269653
"Spain",23.5657900571823
"Sri Lanka",49.7577965259552
"St. Kitts and Nevis",47.7699160575867
"St. Lucia",44.753098487854
"St. Martin",NA
"St. Vincent and the Grenadines",31.1874210834503
"Sudan",72.4796652793884
"Suriname",26.3795912265778
"Sweden",15.0326043367386
"Switzerland",28.9469867944717
"Syrian Arab Republic",NA
"Tajikistan",63.152414560318
"Tanzania",24.0961372852325
"Thailand",11.1465625464916
"Timor-Leste",8.34491550922394
"Togo",58.4201276302338
"Tonga",10.6305524706841
"Trinidad and Tobago",39.7774338722229
"Tunisia",39.1201615333557
"Turkey",17.3842012882233
"Turkmenistan",72.758024930954
"Turks and Caicos Islands",NA
"Tuvalu",0.522179901599884
"Uganda",39.0714079141617
"Ukraine",52.3169219493866
"United Arab Emirates",18.8674405217171
"United Kingdom",15.9568220376968
"United States",10.9929218888283
"Uruguay",17.5494343042374
"Uzbekistan",53.431361913681
"Vanuatu",8.96036028862
"Venezuela",62.9878759384155
"Vietnam",45.2579379081726
"Virgin Islands",NA
"West Bank and Gaza",NA
"Yemen",NA
"Zambia",11.8491314351559
"Zimbabwe",20.6223398447037
