"Country","Government_Health_expenditure"
"United States ",3081006.9
"United Kingdom ",88192.9
"Germany ",380973.7
"France ",253646.1
"Japan ",213704
"Spain ",88794.1
"Italy ",128519.7
"Portugal ",13918.7
"Greece ",9684.3
"Ireland ",19752.5
"Andorra ",152.5
"United Arab Emirates ",9064.1
"Afghanistan ",121.4
"Antigua and Barbuda ",31.3
"Albania ",558.6
"Armenia ",158.2
"Angola ",1577.7
"Argentina ",42490.7
"Austria ",34936.8
"Australia ",88877.7
"Azerbaijan ",415.8
"Bosnia and Herzegovina ",1138.2
"Barbados ",149.2
"Bangladesh ",995
"Belgium ",41651.6
"Burkina Faso ",370
"Bulgaria ",2449.9
"Bahrain ",975.4
"Burundi ",58.9
"Benin ",141.6
"Brunei ",272.9
"Bolivia ",1668.2
"Brazil ",81392.2
"Bahamas ",307
"Bhutan ",56.1
"Botswana ",806.8
"Belarus ",2268.8
"Belize ",71.5
"Canada ",38068.7
"Democratic Republic of the Congo ",148.9
"Central African Republic ",15.5
"Republic of the Congo ",106.6
"Switzerland ",15850.4
"Ivory Coast ",482.3
"Chile ",15230.1
"Cameroon ",217.7
"China ",352140.8
"Colombia ",17371.6
"Costa Rica ",3333.1
"Cuba ",10145
"Cape Verde ",55.2
"Cyprus ",628.8
"Czech Republic ",3344.4
"Djibouti ",43.2
"Denmark ",10830.3
"Dominica ",20
"Dominican Republic ",2260.6
"Algeria ",7037.4
"Ecuador ",4549
"Estonia ",1582.9
"Egypt ",4126.6
"Eritrea ",15
"Ethiopia ",661.8
"Finland ",18863.4
"Fiji ",124.6
"Federated States of Micronesia ",11.6
"Gabon ",262.6
"Grenada ",22.9
"Georgia ",426.6
"Ghana ",644
"The Gambia ",11.3
"Guinea ",73
"Equatorial Guinea ",71.9
"Guatemala ",1575.9
"Guinea-Bissau ",8
"Guyana ",106.8
"Honduras ",727.8
"Croatia ",3104.1
"Haiti ",80.1
"Hungary ",7105.9
"Indonesia ",14680.1
"Israel ",5681.4
"India ",25437.8
"Iraq ",3409.4
"Iran ",19114.2
"Iceland ",1761.7
"Jamaica ",572.4
"Jordan ",1482.9
"Kenya ",1615.1
"Kyrgyzstan ",180.8
"Cambodia ",312.6
"Kiribati ",15.2
"Comoros ",6.1
"Saint Kitts and Nevis ",22.1
"North Korea ",307.2
"South Korea ",7346.2
"Kuwait ",5527
"Kazakhstan ",3160.4
"Laos ",151.7
"Lebanon ",2188.9
"Saint Lucia ",40.4
"Sri Lanka ",1440.7
"Liberia ",46.1
"Lesotho ",147.6
"Lithuania ",2473.3
"Luxembourg ",3242.8
"Latvia ",NA
"Libya ",1225.4
"Morocco ",2469
"Monaco ",90.6
"Moldova ",343.3
"Montenegro ",250.9
"Madagascar ",295.7
"Marshall Islands ",12.9
"North Macedonia ",461.7
"Mali ",203.7
"Burma - Myanmar ",421.9
"Mongolia ",282.1
"Mauritania ",83.8
"Malta ",752
"Mauritius ",325
"Maldives ",313.5
"Malawi ",186.4
"Mexico ",10369.1
"Malaysia ",6223.5
"Mozambique ",185.7
"Namibia ",535.1
"Niger ",210.5
"Nigeria ",2004.7
"Nicaragua ",695.2
"Netherlands ",74903.5
"Norway ",10567.6
"Nepal ",312.4
"Nauru ",8.7
"New Zealand ",3309
"Oman ",2384.3
"Panama ",2731.6
"Peru ",6778
"Papua New Guinea ",423.5
"Philippines ",4449.9
"Pakistan ",2788.4
"Poland ",6010.6
"Palau ",17.3
"Paraguay ",1180.3
"Qatar ",3514.1
"Romania ",8569.2
"Serbia ",2110.4
"Russia ",11674.9
"Rwanda ",206.2
"Saudi Arabia ",25107.5
"Solomon Islands ",42.8
"Seychelles ",55
"Sudan ",1405.3
"Sweden ",16944.2
"Singapore ",7243.3
"Slovenia ",3184.4
"Slovakia ",5936.9
"Sierra Leone ",68.7
"San Marino ",91.9
"Senegal ",181.5
"Somalia ",25.5
"Suriname ",112
"South Sudan ",28.3
"Sao Tome and Principe ",10.7
"El Salvador ",1148.5
"Syria ",1189.6
"Swaziland ",156.6
"Chad ",71.5
"Togo ",52.8
"Thailand ",12984.7
"Tajikistan ",149.8
"Timor-Leste ",63.7
"Turkmenistan ",585.9
"Tunisia ",1645
"Tonga ",14.4
"Turkey ",6966.2
"Trinidad and Tobago ",826.1
"Tuvalu ",5.1
"Tanzania ",839.2
"Ukraine ",3453
"Uganda ",257.1
"Uruguay ",3921.1
"Uzbekistan ",1615
"Saint Vincent and the Grenadines ",22.9
"Venezuela ",270.8
"Vietnam ",5927.8
"Vanuatu ",18
"Samoa ",34.4
"Yemen ",159.4
"South Africa ",15210
"Zambia ",446.7
"Zimbabwe ",781.4
