Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
UHC service coverage index,SH.UHC.SRVS.CV.XD,Afghanistan,AFG,..,..,..,..,..,..,34,..,37,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Albania,ALB,..,..,..,..,..,..,58,..,59,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Algeria,DZA,..,..,..,..,..,..,76,..,78,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Angola,AGO,..,..,..,..,..,..,38,..,40,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Antigua and Barbuda,ATG,..,..,..,..,..,..,73,..,73,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Argentina,ARG,..,..,..,..,..,..,76,..,76,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Armenia,ARM,..,..,..,..,..,..,66,..,69,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Australia,AUS,..,..,..,..,..,..,86,..,87,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Austria,AUT,..,..,..,..,..,..,79,..,79,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Azerbaijan,AZE,..,..,..,..,..,..,63,..,65,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Bahamas, The",BHS,..,..,..,..,..,..,73,..,75,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bahrain,BHR,..,..,..,..,..,..,75,..,77,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bangladesh,BGD,..,..,..,..,..,..,46,..,48,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Barbados,BRB,..,..,..,..,..,..,76,..,77,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Belarus,BLR,..,..,..,..,..,..,74,..,76,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Belgium,BEL,..,..,..,..,..,..,83,..,84,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Belize,BLZ,..,..,..,..,..,..,66,..,64,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Benin,BEN,..,..,..,..,..,..,40,..,40,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bhutan,BTN,..,..,..,..,..,..,59,..,62,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bolivia,BOL,..,..,..,..,..,..,64,..,68,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,60,..,61,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Botswana,BWA,..,..,..,..,..,..,61,..,61,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Brazil,BRA,..,..,..,..,..,..,78,..,79,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Brunei Darussalam,BRN,..,..,..,..,..,..,83,..,81,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Bulgaria,BGR,..,..,..,..,..,..,64,..,66,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Burkina Faso,BFA,..,..,..,..,..,..,38,..,40,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Burundi,BDI,..,..,..,..,..,..,43,..,42,..,..,..
