"Country","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","clustAG"
"Afghanistan",5.09581863880157,11.7771938443184,75.482577085495,37,3,1
"Australia",68.9128518104553,9.20594781637192,18.1521028280258,87,3674,3
"Austria",72.3925411701202,10.3966169059277,19.2032665014267,79,3944,3
"Azerbaijan",15.1073157787323,6.65182918310165,83.8561415672302,65,42,1
"Bahamas",43.8695639371872,5.75888901948929,30.9824675321579,75,777,2
"Bahrain",57.9781413078308,4.74810488522053,30.5521756410599,77,654,2
"Bangladesh",16.693340241909,2.27424874901772,73.8847374916077,48,6,1
"Barbados",44.2008912563324,6.77912682294846,46.3035732507706,77,523,2
"Belarus",69.9636161327362,5.92578575015068,27.5150001049042,76,240,2
"Belgium",77.2173881530762,10.338669270277,17.6382228732109,84,3636,3
"Belize",67.9763317108154,5.64282275736332,24.1548627614975,64,191,2
"Benin",29.9844712018967,3.71858216822147,44.979926943779,40,9,1
"Bhutan",74.5184302330017,3.18696238100529,13.3064657449722,62,72,2
"Bolivia",68.5277044773102,6.44316077232361,25.0778466463089,68,151,2
"Bosnia and Herzegovina",70.4874753952026,8.93166735768318,29.1393101215363,61,325,2
"Botswana",75.6595969200134,6.13456815481186,2.99324225634336,61,353,2
"Brazil",41.8793767690659,9.46747660636902,27.4554938077927,79,389,2
"Brunei",94.8233902454376,2.37320773303509,5.17660900950432,81,637,2
"Bulgaria",51.8640756607056,8.09560343623161,46.5525686740875,66,344,2
"Burkina Faso",43.30193400383,6.91505968570709,31.6775947809219,40,19,1
"Burma",14.806555211544,4.65907230973244,76.2309670448303,61,9,1
"Burundi",24.7139275074005,7.51757025718689,25.4629760980606,42,6,1
"Cabo Verde",60.2447330951691,5.16548864543438,28.8964778184891,69,101,2
"Cambodia",23.8018453121185,5.91884180903435,60.4358732700348,60,20,1
"Cameroon",13.3175760507584,4.67066690325737,70.9576010704041,46,9,1
"Canada",73.7186372280121,10.5727694928646,14.2197504639626,89,3505,3
"Central African Republic",12.8226339817047,5.82177564501762,31.1890989542007,33,3,1
"Chad",15.805572271347,4.48730140924454,58.0231606960297,28,5,1
"Chile",50.0583112239838,8.9835099875927,33.5341811180115,70,797,2
"China",56.6733479499817,5.15119321644306,36.0504120588303,79,250,2
"Colombia",67.7996516227722,7.22628086805344,16.3084268569946,76,345,2
"Comoros",12.7480328083038,7.3843739926815,74.6471285820007,52,7,1
"Congo, Dem. Rep.",9.94900688529015,3.97872291505337,40.1247203350067,41,2,1
"Congo, Rep.",40.7357543706894,2.93027926236391,48.4012395143509,39,20,1
"Costa Rica",73.509269952774,7.32879638671875,21.2553903460503,77,666,2
"Cote d'Ivoire",28.4602016210556,4.45303432643414,39.3607437610626,47,20,1
"Croatia",82.82710313797,6.78913369774818,10.9732516109943,71,747,2
"Cuba",89.4421339035034,11.7113269865513,10.4826636612415,83,883,3
"Cyprus",42.40702688694,6.68456926941872,44.6320354938507,78,734,2
"Czech Republic",81.7487835884094,7.23133906722069,14.8091018199921,76,1207,2
"Denmark",84.0240359306335,10.1082794368267,13.7384653091431,81,4874,3
"Djibouti",47.0487862825394,3.31651791930199,26.5042155981064,47,33,1
"Dominican Republic",46.0022807121277,6.13639503717422,44.7381973266602,74,199,2
"Ecuador",52.8208673000336,8.25742930173874,39.3985062837601,77,274,2
"Egypt",32.9952418804169,5.28763681650162,60.0825130939484,68,35,1
"El Salvador",63.7456119060516,7.22756013274193,29.1964501142502,76,180,2
"Equatorial Guinea",18.8326090574265,3.10709420591593,76.7920136451721,45,57,1
"Eritrea",27.2490590810776,2.87002343684435,59.1215252876282,38,9,1
"Estonia",74.6641218662262,6.42935782670975,23.6646249890327,75,1195,2
"Eswatini",50.7453203201294,6.93037807941437,10.4967460036278,63,114,2
"Ethiopia",24.9451786279678,3.50255742669106,34.4089895486832,39,6,1
"Fiji",66.2308931350708,3.50074470043182,15.5942484736443,64,125,2
"Finland",76.7445921897888,9.20693874359131,20.2274233102798,78,3419,3
"France",77.0919501781464,11.3128922879696,9.38421934843063,78,3785,3
"Gabon",63.2851600646973,2.78074592351913,25.1563906669617,49,129,2
"Gambia",22.8928819298744,3.2820712774992,22.0314085483551,44,5,1
"Georgia",37.2146517038345,7.60165899991989,54.7619044780731,66,109,1
"Germany",77.6598811149597,11.2468346953392,12.6729190349579,83,4589,3
"Ghana",33.4704041481018,3.26237045228481,40.2916967868805,47,22,1
"Greece",60.1780295372009,8.04139003157616,34.7502082586288,75,903,2
"Grenada",42.6966905593872,4.7571174800396,52.4138391017914,72,212,1
"Guatemala",35.8447700738907,5.81384375691414,54.1341066360474,55,93,1
"Guinea",17.1788886189461,4.12308685481548,56.6835463047028,37,6,1
"Guinea-Bissau",8.19773748517036,7.23586902022362,72.0612049102783,40,4,1
"Guyana",59.8870098590851,4.94550988078117,32.4706435203552,72,138,2
"Haiti",11.8561938405037,8.03550109267235,40.2279019355774,49,7,1
"Honduras",40.0905758142471,7.85842537879944,48.7016767263412,65,79,1
"Hungary",68.7371075153351,6.87998980283737,26.8943250179291,74,727,2
"Iceland",81.8285703659058,8.32629129290581,16.480378806591,84,4935,3
"India",27.1320134401321,3.53495962917805,62.4015033245087,55,19,1
"Indonesia",48.3731865882874,2.98905447125435,34.6057176589966,57,56,2
"Iran",51.2473046779633,8.65966379642487,41.7565643787384,72,244,2
"Iraq",41.8605357408524,4.16663028299809,58.0432951450348,61,88,1
"Ireland",73.2924282550812,7.18438327312469,12.2811168432236,76,4028,3
"Israel",63.6250734329224,7.40746408700943,22.2508862614632,82,2001,3
"Italy",73.897385597229,8.84025916457176,23.4858065843582,82,2129,3
"Jamaica",64.6982431411743,5.98841682076454,17.2296956181526,65,199,2
"Japan",84.092515707016,10.9359331429005,12.8477171063423,83,3506,3
"Jordan",44.8005378246307,8.11925083398819,30.4274260997772,76,153,2
"Kazakhstan",62.0811462402344,3.12536172568798,33.1494748592377,76,174,2
"Kenya",42.7392691373825,4.80254329741001,24.0433126688004,55,33,2
"Kiribati",75.7973372936249,10.7575967907906,0.11221959721297,41,130,2
"Kuwait",87.3870193958282,5.2913848310709,12.6153096556664,76,1336,2
"Kyrgyzstan",37.9522532224655,6.1858631670475,56.3766300678253,70,30,1
"Lao PDR",35.147300362587,2.52808686345816,46.1833655834198,51,22,1
